"Font File","Plane","Block range","Block name","Code points[a]","Assigned characters","Scripts[b][c][d][e][f]","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+D7B0..U+D7FF","Hangul Jamo Extended-B","80","72","Hangul","","","","","","","","","","","","","","","","","","","",""
"","0 BMP","U+D800..U+DB7F","High Surrogates","896","0","Unknown","","","","","","","","","","","","","","","","","","","",""
"","0 BMP","U+DB80..U+DBFF","High Private Use Surrogates","128","0","Unknown","","","","","","","","","","","","","","","","","","","",""
"","0 BMP","U+DC00..U+DFFF","Low Surrogates","1,024","0","Unknown","","","","","","","","","","","","","","","","","","","",""
"","0 BMP","U+E000..U+F8FF","Private Use Area","6,400","6,400","Unknown","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+F900..U+FAFF","CJK Compatibility Ideographs","512","472","Han","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+FB00..U+FB4F","Alphabetic Presentation Forms","80","58","Armenian (5 characters), Hebrew (46 characters), Latin (7 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+FB50..U+FDFF","Arabic Presentation Forms-A","688","611","Arabic (609 characters), Common (2 characters)","","","","","","","","","","","","","","","","","","","",""
"","0 BMP","U+FE00..U+FE0F","Variation Selectors","16","16","Inherited","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+FE10..U+FE1F","Vertical Forms","16","10","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+FE20..U+FE2F","Combining Half Marks","16","16","Cyrillic (2 characters), Inherited (14 characters)","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+FE30..U+FE4F","CJK Compatibility Forms","32","32","Common","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+FE50..U+FE6F","Small Form Variants","32","26","Common","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+FE70..U+FEFF","Arabic Presentation Forms-B","144","141","Arabic (140 characters), Common (1 character)","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+FF00..U+FFEF","Halfwidth and Fullwidth Forms","240","225","Hangul (52 characters), Katakana (55 characters), Latin (52 characters), Common (66 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+FFF0..U+FFFF","Specials","16","5","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10000..U+1007F","Linear B Syllabary","128","88","Linear B","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10080..U+100FF","Linear B Ideograms","128","123","Linear B","","","","","","","","","","","","","","","","","","","",""
